x_mm,T_FGM_K,T_BI_K,sig_FGM_MPa,sig_BI_MPa,sigVM_FGM_MPa,sigVM_BI_MPa
0,658.454401465504,681.11423656037,210.651118747602,72.512169321571,210.651118747602,72.512169321571
0.00753768844221105,657.509133757036,680.092507054294,203.065347306314,76.0305128558594,203.065347306314,76.0305128558594
0.0150753768844221,656.691996997566,679.070117064776,195.179126323488,79.5525321644707,195.179126323488,79.5525321644707
0.0226130653266332,655.972023427816,678.047067444532,187.077719744162,83.0782249523061,187.077719744162,83.0782249523061
0.0301507537688442,655.328304388893,677.023359151701,178.818410797445,86.6075886004078,178.818410797445,86.6075886004078
0.0376884422110553,654.74604669556,675.998993249562,170.44152460303,90.1406201660452,170.44152460303,90.1406201660452
0.0452261306532663,654.214393411167,674.973970906219,161.976505279411,93.6773163828528,161.976505279411,93.6773163828528
0.0527638190954774,653.725137860364,673.948293394287,153.445493911031,97.2176736610128,153.445493911031,97.2176736610128
0.0603015075376884,653.271924108202,672.921962090555,144.865547922631,100.761688087486,144.865547922631,100.761688087486
0.0678391959798995,652.849728287979,671.894978475635,136.250077526465,104.309355426293,136.250077526465,104.309355426293
0.0753768844221105,652.454510005278,670.8673441336,127.609808906102,107.860671118838,127.609808906102,107.860671118838
0.0829145728643216,652.082970931418,669.83906075161,118.953449672613,111.415630284283,118.953449672613,111.415630284283
0.0904522613065327,651.732383281106,668.810130119517,110.288160566759,114.974227719971,110.288160566759,114.974227719971
0.0979899497487437,651.400465200418,667.780554129462,101.61989734138,118.536457901893,101.61989734138,118.536457901893
0.105527638190955,651.085288452674,666.750334775458,92.9536634277111,122.102314985202,92.9536634277111,122.102314985202
0.113065326633166,650.785208842459,665.719474152959,84.2936999090647,125.671792804777,84.2936999090647,125.671792804777
0.120603015075377,650.498812966604,664.68797445841,75.6436305626011,129.24488487583,75.6436305626011,129.24488487583
0.128140703517588,650.224876896827,663.655837988794,67.0065741268287,132.821584394564,67.0065741268287,132.821584394564
0.135678391959799,649.96233372082,662.623067141159,58.3852322823146,136.401884238872,58.3852322823146,136.401884238872
0.14321608040201,649.710247754713,661.589664412129,49.7819593766213,139.985776969085,49.7819593766213,139.985776969085
0.150753768844221,649.467793845259,660.555632397414,41.1988182481046,143.573254828769,41.1988182481046,143.573254828769
0.158291457286432,649.234240601232,659.52097379129,32.6376253388407,147.164309745564,32.6376253388407,147.164309745564
0.165829145728643,649.008936691089,658.485691386082,24.099987465158,150.758933332069,24.099987465158,150.758933332069
0.173366834170854,648.791299557392,657.449788071625,15.5873320256905,154.357116886772,15.5873320256905,154.357116886772
0.180904522613065,648.580806053593,656.413266834715,7.10093199961576,157.95885139503,7.10093199961576,157.95885139503
0.188442211055276,648.376984622956,655.376130758548,-1.35807322624654,161.564127530088,1.35807322624654,161.564127530088
0.195979899497487,648.179408724375,654.338383022144,-9.78866039624556,165.172935654149,9.78866039624556,165.172935654149
0.203517587939699,647.987691273775,653.300026899766,-18.189907660773,168.78526581948,18.189907660773,168.78526581948
0.21105527638191,647.801479918382,652.261065760314,-26.5609820904408,172.401107769573,26.5609820904408,172.401107769573
0.218592964824121,647.620452998378,651.221503066722,-34.9011290347347,176.020450940342,34.9011290347347,176.020450940342
0.226130653266332,647.444316079305,650.18134237533,-43.2096630090291,179.643284461369,43.2096630090291,179.643284461369
0.233668341708543,647.272798961019,649.140587335255,-51.485959855176,183.26959715719,51.485959855176,183.26959715719
0.241206030150754,647.105653086681,648.099241687739,-59.7294499689505,186.899377548629,59.7294499689505,186.899377548629
0.248743718592965,646.942649289215,647.057309265499,-67.9396124256803,190.532613854167,67.9396124256803,190.532613854167
0.256281407035176,646.781904125388,646.456311251315,-68.7840516962431,-118.414306866599,68.7840516962431,118.414306866599
0.263819095477387,646.621300542286,646.29670931916,-68.1598216851705,-117.343530296258,68.1598216851705,117.343530296258
0.271356783919598,646.460495771989,646.136909735228,-67.5348079537796,-116.271922667549,67.5348079537796,116.271922667549
0.278894472361809,646.299489888121,645.976912547718,-66.9090106764441,-115.199483945938,66.9090106764441,115.199483945938
0.28643216080402,646.138282969916,645.816717810548,-66.2824300484997,-114.126214118197,66.2824300484997,114.126214118197
0.293969849246231,645.97687510221,645.656325583349,-65.6550662862505,-113.052113192416,65.6550662862505,113.052113192416
0.301507537688442,645.815266375447,645.495735931476,-65.0269196269746,-111.977181198019,65.0269196269746,111.977181198019
0.309045226130653,645.653456885674,645.334948926,-64.3979903289275,-110.90141818577,64.3979903289275,110.90141818577
0.316582914572864,645.491446734542,645.173964643711,-63.7682786713447,-109.824824227794,63.7682786713447,109.824824227794
0.324120603015075,645.329236029306,645.012783167117,-63.1377849544473,-108.747399417586,63.1377849544473,108.747399417586
0.331658291457286,645.166824882823,644.851404584445,-62.506509499443,-107.669143870015,62.506509499443,107.669143870015
0.339195979899498,645.00421341355,644.689828989641,-61.874452648528,-106.590057721343,61.874452648528,106.590057721343
0.346733668341709,644.841401745545,644.528056482364,-61.2416147648905,-105.510141129231,61.2416147648905,105.510141129231
0.35427135678392,644.678390008465,644.366087167994,-60.6079962327065,-104.429394272749,60.6079962327065,104.429394272749
0.361809045226131,644.515178337561,644.203921157623,-59.9735974571452,-103.347817352381,59.9735974571452,103.347817352381
0.369346733668342,644.351766873682,644.041558568058,-59.3384188643676,-102.265410590037,59.3384188643676,102.265410590037
0.376884422110553,644.188155763267,643.878999521818,-58.7024609015227,-101.182174229057,58.7024609015227,101.182174229057
0.384422110552764,644.024345158348,643.716244147133,-58.0657240367469,-100.09810853422,58.0657240367469,100.09810853422
0.391959798994975,643.860335216544,643.553292577942,-57.4282087591644,-99.0132137917465,57.4282087591644,99.0132137917465
0.399497487437186,643.696126101061,643.390144953893,-56.7899155788813,-97.9274903093075,56.7899155788813,97.9274903093075
0.407035175879397,643.531717980688,643.226801420338,-56.1508450269821,-96.8409384160271,56.1508450269821,96.8409384160271
0.414572864321608,643.367111029796,643.063262128333,-55.510997655529,-95.7535584624848,55.510997655529,95.7535584624848
0.422110552763819,643.202305428331,642.899527234632,-54.8703740375541,-94.6653508207218,54.8703740375541,94.6653508207218
0.42964824120603,643.037301361816,642.735596901691,-54.2289747670538,-93.5763158842408,54.2289747670538,93.5763158842408
0.437185929648241,642.872099021346,642.571471297658,-53.5868004589871,-92.48645406801,53.5868004589871,92.48645406801
0.444723618090452,642.706698603582,642.407150596376,-52.9438517492639,-91.3957658084641,52.9438517492639,91.3957658084641
0.452261306532663,642.541100310751,642.242634977376,-52.3001292947413,-90.3042515635027,52.3001292947413,90.3042515635027
0.459798994974874,642.375304350639,642.077924625875,-51.6556337732161,-89.2119118124938,51.6556337732161,89.2119118124938
0.467336683417085,642.209310936591,641.913019732773,-51.0103658834137,-88.1187470562709,51.0103658834137,88.1187470562709
0.474874371859296,642.043120287504,641.747920494649,-50.3643263449813,-87.0247578171316,50.3643263449813,87.0247578171316
0.482412060301508,641.876732627823,641.582627113757,-49.7175158984803,-85.9299446388366,49.7175158984803,85.9299446388366
0.489949748743719,641.710148187537,641.417139798022,-49.0699353053714,-84.8343080866076,49.0699353053714,84.8343080866076
0.49748743718593,641.543367202177,641.251458761037,-48.4215853480097,-83.737848747122,48.4215853480097,83.737848747122
0.505025125628141,641.376389912805,641.085584222057,-47.7724668296278,-82.6405672285109,47.7724668296278,82.6405672285109
0.512562814070352,641.209216566018,640.919516405995,-47.1225805743278,-81.5424641603545,47.1225805743278,81.5424641603545
0.520100502512563,641.041847413933,640.753255543419,-46.4719274270672,-80.4435401936755,46.4719274270672,80.4435401936755
0.527638190954774,640.87428271419,640.586801870545,-45.8205082536467,-79.3437960009351,45.8205082536467,79.3437960009351
0.535175879396985,640.706522729944,640.420155629233,-45.1683239406964,-78.2432322760241,45.1683239406964,78.2432322760241
0.542713567839196,640.538567729856,640.25331706698,-44.5153753956595,-77.1418497342582,44.5153753956595,77.1418497342582
0.550251256281407,640.370417988093,640.08628643692,-43.8616635467808,-76.0396491123689,43.8616635467808,76.0396491123689
0.557788944723618,640.202073784318,639.919063997811,-43.2071893430873,-74.9366311684955,43.2071893430873,74.9366311684955
0.565326633165829,640.033535403687,639.751650014036,-42.5519537543764,-73.8327966821754,42.5519537543764,73.8327966821754
0.57286432160804,639.864803136839,639.584044755593,-41.8959577711963,-72.7281464543359,41.8959577711963,72.7281464543359
0.580402010050251,639.695877279895,639.416248498089,-41.2392024048292,-71.6226813072818,41.2392024048292,71.6226813072818
0.587939698492462,639.526758134446,639.248261522737,-40.5816886872718,-70.5164020846846,40.5816886872718,70.5164020846846
0.595477386934673,639.35744600755,639.080084116346,-39.9234176712214,-69.4093096515718,39.9234176712214,69.4093096515718
0.603015075376884,639.187941211724,638.911716571318,-39.2643904300518,-68.3014048943147,39.2643904300518,68.3014048943147
0.610552763819095,639.018244064936,638.743159185638,-38.6046080577959,-67.1926887206141,38.6046080577959,67.1926887206141
0.618090452261306,638.848354890601,638.574412262868,-37.9440716691248,-66.0831620594876,37.9440716691248,66.0831620594876
0.625628140703518,638.67827401757,638.405476112142,-37.2827823993273,-64.9728258612551,37.2827823993273,64.9728258612551
0.633165829145729,638.508001780125,638.236351048155,-36.6207414042871,-63.8616810975236,36.6207414042871,63.8616810975236
0.64070351758794,638.33753851797,638.067037391159,-35.9579498604621,-62.7497287611698,35.9579498604621,62.7497287611698
0.648241206030151,638.166884576225,637.897535466955,-35.2944089648599,-61.6369698663287,35.2944089648599,61.6369698663287
0.655778894472362,637.996040305414,637.727845606883,-34.6301199350152,-60.5234054483698,34.6301199350152,60.5234054483698
0.663316582914573,637.825006061463,637.557968147814,-33.9650840089677,-59.4090365638856,33.9650840089677,59.4090365638856
0.670854271356784,637.653782205688,637.387903432147,-33.2993024452343,-58.293864290669,33.2993024452343,58.293864290669
0.678391959798995,637.482369104785,637.217651807795,-32.6327765227851,-57.1778897276963,32.6327765227851,57.1778897276963
0.685929648241206,637.310767130827,637.047213628176,-31.9655075410185,-56.0611139951073,31.9655075410185,56.0611139951073
0.693467336683417,637.138976661247,636.876589252213,-31.2974968197318,-54.9435382341856,31.2974968197318,54.9435382341856
0.701005025125628,636.966998078838,636.705779044313,-30.6287456990976,-53.8251636073362,30.6287456990976,53.8251636073362
0.708542713567839,636.794831771737,636.534783374368,-29.9592555396338,-52.705991298065,29.9592555396338,52.705991298065
0.71608040201005,636.622478133422,636.363602617741,-29.2890277221776,-51.586022510956,29.2890277221776,51.586022510956
0.723618090452261,636.449937562695,636.192237155258,-28.6180636478524,-50.4652584716485,28.6180636478524,50.4652584716485
0.731155778894472,636.27721046368,636.020687373197,-27.9463647380428,-49.3437004268128,27.9463647380428,49.3437004268128
0.738693467336683,636.104297245808,635.848953663282,-27.2739324343621,-48.221349644128,27.2739324343621,48.221349644128
0.746231155778894,635.931198323809,635.677036422668,-26.6007681986215,-47.0982074122537,26.6007681986215,47.0982074122537
0.753768844221105,635.757914117703,635.504936053936,-25.9268735127992,-45.9742750408082,25.9268735127992,45.9742750408082
0.761306532663317,635.584445052789,635.33265296508,-25.2522498790079,-44.8495538603378,25.2522498790079,44.8495538603378
0.768844221105528,635.410791559634,635.160187569497,-24.5768988194628,-43.7240452222949,24.5768988194628,43.7240452222949
0.776381909547739,635.236954074062,634.987540285976,-23.9008218764496,-42.5977504990066,23.9008218764496,42.5977504990066
0.78391959798995,635.062933037145,634.81471153869,-23.2240206122867,-41.4706710836479,23.2240206122867,41.4706710836479
0.791457286432161,634.888728895193,634.641701757182,-22.5464966092957,-40.3428083902128,22.5464966092957,40.3428083902128
0.798994974874372,634.714342099739,634.468511376357,-21.868251469763,-39.2141638534831,21.868251469763,39.2141638534831
0.806532663316583,634.539773107532,634.295140836466,-21.1892868159049,-38.0847389290014,21.1892868159049,38.0847389290014
0.814070351758794,634.365022380523,634.1215905831,-20.5096042898318,-36.9545350930364,20.5096042898318,36.9545350930364
0.821608040201005,634.190090385856,633.947861067175,-19.8292055535117,-35.8235538425538,19.8292055535117,35.8235538425538
0.829145728643216,634.014977595854,633.773952744924,-19.1480922887314,-34.6917966951846,19.1480922887314,34.6917966951846
0.836683417085427,633.839684488008,633.599866077878,-18.4662661970584,-33.559265189188,18.4662661970584,33.559265189188
0.844221105527638,633.664211544966,633.425601532864,-17.7837289998051,-32.4259608834234,17.7837289998051,32.4259608834234
0.851758793969849,633.488559254519,633.251159581984,-17.100482437984,-31.2918853573119,17.100482437984,31.2918853573119
0.85929648241206,633.312728109591,633.076540702606,-16.4165282722751,-30.1570402108033,16.4165282722751,30.1570402108033
0.866834170854271,633.136718608224,632.901745377353,-15.7318682829783,-29.0214270643396,15.7318682829783,29.0214270643396
0.874371859296482,632.96053125357,632.726774094088,-15.046504269975,-27.8850475588206,15.046504269975,27.8850475588206
0.881909547738694,632.784166553872,632.551627345902,-14.3604380526883,-26.7479033555628,14.3604380526883,26.7479033555628
0.889447236180904,632.607625022455,632.3763056311,-13.6736714700378,-25.6099961362684,13.6736714700378,25.6099961362684
0.896984924623116,632.430907177712,632.20080945319,-12.9862063803971,-24.4713276029795,12.9862063803971,24.4713276029795
0.904522613065327,632.254013543093,632.025139320868,-12.2980446615523,-23.3318994780454,12.2980446615523,23.3318994780454
0.912060301507538,632.076944647089,631.849295748005,-11.6091882106565,-22.1917135040788,11.6091882106565,22.1917135040788
0.919597989949749,631.899701023217,631.673279253631,-10.9196389441835,-21.0507714439186,10.9196389441835,21.0507714439186
0.92713567839196,631.72228321001,631.497090361925,-10.2293987978841,-19.9090750805864,10.2293987978841,19.9090750805864
0.934673366834171,631.544691751002,631.320729602199,-9.53846972673917,-18.7666262172482,9.53846972673917,18.7666262172482
0.942211055276382,631.366927194714,631.144197508883,-8.84685370491543,-17.6234266771666,8.84685370491543,17.6234266771666
0.949748743718593,631.188990094638,630.967494621512,-8.1545527257149,-16.4794783036638,8.1545527257149,16.4794783036638
0.957286432160804,631.010881009226,630.790621484712,-7.46156880152892,-15.3347829600751,7.46156880152892,15.3347829600751
0.964824120603015,630.832600501872,630.613578648181,-6.76790396378902,-14.1893425297048,6.76790396378902,14.1893425297048
