test,Thot_max_FGM,Thot_max_BI,sigVM_max_FGM,sigVM_max_BI,eta_T,eta_sig
baseline,768.35796004814,847.223474879588,251.599473976188,281.112924855777,0.0930870274134653,0.104987883053512
q_hot -20%,735.927586926204,798.291525428955,239.268029549404,254.101009157479,0.0781217594277231,0.0583743435622575
q_hot +20%,800.265671577918,895.946143400085,263.711797696783,308.108690773229,0.106792659946125,0.144094906784446
h_out -20%,778.890688480141,858.102418941285,259.414711851488,287.11349969546,0.0923103451437355,0.0964733036703338
h_out +20%,761.122217436552,839.75518375482,246.263688701378,276.982224517288,0.0936379647776328,0.110904358102563
T_out -100K,677.092652201207,753.129718823924,215.616428507489,228.854705432365,0.100961447573009,0.057845771184233
T_out +100K,861.085344723164,942.506259867626,317.21370815877,333.974385122483,0.0863876651131189,0.0501855163460092
