t_s,Thot_FGM,Tcold_FGM,Thot_BI,Tcold_BI,sigVM_max_FGM,sigVM_max_BI,delta_FGM_um,delta_BI_um
0.45,639.806653209709,605.056619705034,667.71673981433,604.735695550867,173.201659290425,180.412634850923,221.792559580724,791.913712287776
0.46,641.017702831414,605.305137818264,669.655423961654,604.980152017092,173.218234606557,181.415970176563,202.635173699192,767.565492465649
0.47,642.237941419239,605.558393790687,671.605085652431,605.229568997314,173.245440123168,182.426353951418,183.365330527783,743.1157759703
0.48,643.467163927787,605.816301589133,673.565495648921,605.483852675457,173.283071812294,183.443656110457,163.985420883259,718.566550848949
0.49,644.705169259238,606.078776670916,675.536429530332,605.742910845268,173.330929240539,184.467749023094,144.497785404402,693.919752053452
0.5,645.951760179379,606.345735969134,677.517667528315,606.006652910011,173.388815493263,185.498507418823,124.904716433694,669.177265154661
0.51,647.206743237962,606.617097875904,679.508994378592,606.274989876908,173.45653710326,186.535808319452,105.208459677072,644.340929513676
0.52,648.46992869275,606.892782223888,681.510199186308,606.547834347343,173.533903983148,187.579530976881,85.4112156808731,619.412541002299
0.53,649.741130436707,607.172710266671,683.521075302833,606.825100503592,173.620729360968,188.629556815633,65.5151411593178,594.393854346823
0.54,651.020165927978,607.456804658171,685.541420212374,607.106704092777,173.716829718497,189.685769379422,45.5223501958499,569.28658515763
0.55,652.306856122233,607.744989431436,687.571035426795,607.392562408655,173.822024732036,190.748054281213,25.4349153415015,544.092411697206
0.56,653.601025407155,608.037189976934,689.609726387569,607.682594271709,173.936137215131,191.816299156309,5.25486862746409,518.812976430357
0.57,654.902501538833,608.333333020642,691.657302373689,607.97672000793,174.05899306323,192.890393617899,15.0157974958183,493.449887393295
0.58,656.211115579793,608.633346601904,693.71357641483,608.274861426523,174.190421200026,193.970229215042,35.3751292795681,468.004719408131
0.59,657.526701838643,608.937160051284,695.778365208918,608.576941796953,174.330253525085,195.055699392393,55.8212108485384,442.479015171162
0.6,658.84909781108,609.244703968491,697.85148904364,608.882885825441,174.47832486297,196.146699451864,76.3521634171588,416.874286233566
0.61,660.178144122171,609.555910200396,699.932771721332,609.192619631116,174.634472913461,197.243126515674,96.966144540815,391.192013892999
0.62,661.513684469928,609.870711819226,702.02204048683,609.506070721958,174.798538202919,198.344879490821,117.661347401762,365.433650008535
0.63,662.855565569921,610.189043100945,704.119125957986,609.823167970699,174.970364036765,199.451859034775,138.436000120451,339.600617752634
0.64,664.203637101019,610.510839503977,706.223862058526,610.143841590719,175.149796452642,200.563967522226,159.288365090152,313.694312308744
0.65,665.557751652128,610.836037648111,708.336085953018,610.468023112043,175.33668417483,201.681109012883,180.216738335137,287.716101522936
0.66,666.917764669888,611.164575293736,710.455637983718,610.795645357539,175.530878569274,202.803189220147,201.219448886292,261.667326517747
0.67,668.283534407338,611.496391321384,712.582361609232,611.126642419263,175.732233599561,203.930115480663,222.294858173696,235.54930227023
0.68,669.654921873454,611.831425711608,714.716103344673,611.460949635111,175.940605783548,205.061796724582,243.441359433746,209.363318163191
0.69,671.031790783553,612.169619525184,716.856712703367,611.798503565759,176.155854150812,206.198143446661,264.657377130659,183.110638510944
0.7,672.414007510595,612.510914883621,719.00404213989,612.139241971905,176.377840200877,207.339067677898,285.941366392254,156.792503064768
0.71,673.801441037231,612.855254950057,721.157946994385,612.483103791812,176.606427861902,208.484482957955,307.291812453841,130.410127496581
0.72,675.193962908699,613.202583910415,723.318285438111,612.830029119243,176.841483450359,209.634304308037,328.707230116486,103.964703868533
0.73,676.591447186526,613.552846954974,725.48491842012,613.179959181742,177.082875631228,210.788448204479,350.186163215366,77.457401086611
0.74,677.993770402972,613.905990260197,727.657709615026,613.53283631926,177.330475378709,211.946832552793,371.727184096438,50.8893653422374
0.75,679.400811516234,614.261960970973,729.836525371807,613.888603963169,177.584155937749,213.109376662242,393.328893103338,24.2617205403064
0.76,680.812451866412,614.620707183081,732.021234663604,614.24720661563,177.843792786125,214.276001221005,414.989918074379,2.42443128219472
0.77,682.228575132198,614.982177926078,734.211709038491,614.608589829346,178.109263597076,215.446628271718,436.708913847771,29.1680095486032
0.78,683.649067288257,615.346323146429,736.407822571204,614.972700187683,178.380448202529,216.621181187516,458.484561772923,55.9679547431866
0.79,685.073816563354,615.713093690979,738.60945181568,615.339485285122,178.657228557064,217.799584648576,480.315569234735,82.8232280213339
0.8,686.502713399183,616.082441290741,740.816475758589,615.708893708152,178.93948870215,218.981764619062,502.200669181742,109.732810826088
