q_MWm2,Thot_max_FGM,Thot_max_BI,sigVM_max_FGM,sigVM_max_BI,eta_T,eta_sig
0.5,734.357470369494,821.407671796366,84.5445471223169,258.671856677702,0.105976854631146,0.673159081903305
0.8,813.000977657204,955.963549694168,132.844155153049,336.881942151576,0.149548141331018,0.605665550653715
1,864.716163791193,1046.31240490612,168.207103321836,390.374637373516,0.173558337130892,0.569113648228911
1.2,915.910187820422,1137.13011057733,203.384885130715,444.784530971824,0.194542313759144,0.542733906041352
1.5,991.804983814411,1274.13434630549,255.723241847075,527.763069599138,0.221585238094969,0.515458249018239
2,1116.16834851744,1504.10801804972,341.498820607212,668.063419683345,0.257920086108778,0.488822751634749
