scenario,case_id,n,tcoat_mm,tsub_mm,Thot_max_FGM,Thot_max_BI,Thot_end_FGM,Thot_end_BI,Tcold_end_FGM,Tcold_end_BI,sigVM_max_FGM,sigVM_max_BI,delta_FGM_um,delta_BI_um,mA_FGM,mA_BI,eta_T,eta_sig,r_end_FGM,r_end_BI
FLIGHT_PROFILE,18,5,0.65,0.85,916.397373617591,1004.16296095245,702.486861114334,733.807057070287,617.529092859537,618.627419877405,235.180612399673,371.644676039533,1362.61833767078,804.452808162308,11.1216586235273,10.8082914572864,0.0874017373152428,0.367189609963212,0.000880748075084121,0.00114638424316557
FLIGHT_PROFILE,19,0,0.85,0.65,1077.07818343727,1077.07818343727,769.765501603689,769.765501603689,620.38061087802,620.38061087802,387.739270324682,387.739270324682,-212.261390419677,-212.261390419677,10.2517085427136,10.2517085427136,0,0,0.00141821583168082,0.00141821583168082
FLIGHT_PROFILE,20,1,0.85,0.65,817.388510050308,1077.07818343727,672.807211939722,769.765501603689,617.323869482288,620.38061087802,80.5961973077295,387.739270324682,1159.87467971236,-212.261390419677,11.4529830203337,10.2517085427136,0.241105685158544,0.792138162223701,0.000800667728004822,0.00141821583168082
FLIGHT_PROFILE,21,2,0.85,0.65,879.243811077464,1077.07818343727,691.490085786623,769.765501603689,617.329710848145,620.38061087802,186.52939578486,387.739270324682,1397.49708708614,-212.261390419677,11.0506643732324,10.2517085427136,0.183676891243364,0.51893086395746,0.000822902584590847,0.00141821583168082
FLIGHT_PROFILE,22,3,0.85,0.65,920.292888788267,1077.07818343727,704.366923929689,769.765501603689,617.50668980318,620.38061087802,245.439187683295,387.739270324682,1331.09306691246,-212.261390419677,10.849496600121,10.2517085427136,0.145565379616786,0.366999407932628,0.000879496967308417,0.00141821583168082
FLIGHT_PROFILE,23,4,0.85,0.65,948.181336324315,1077.07818343727,713.562854538063,769.765501603689,617.723555808762,620.38061087802,274.954464899976,387.739270324682,1208.85626142117,-212.261390419677,10.7287955201855,10.2517085427136,0.119672693305893,0.290877953451201,0.000939425145935723,0.00141821583168082
FLIGHT_PROFILE,24,5,0.85,0.65,968.057009853357,1077.07818343727,720.467074419094,769.765501603689,617.937249482539,620.38061087802,289.601929158338,387.739270324682,1085.50947778144,-212.261390419677,10.6483278004594,10.2517085427136,0.10121936852903,0.253101371661856,0.000993478512282357,0.00141821583168082
FLIGHT_PROFILE,25,0,1.05,0.45,1144.01425183947,1144.01425183947,818.0326325903,818.0326325903,622.904405051713,622.904405051713,327.295401141105,327.295401141105,-1990.85021399773,-1990.85021399773,9.67371859296482,9.67371859296482,0,0,0.00160535978606689,0.00160535978606689
FLIGHT_PROFILE,26,1,1.05,0.45,833.5328347773,1144.01425183947,678.014506198603,818.0326325903,617.303128227042,622.904405051713,82.5780993774885,327.295401141105,1174.24003126428,-1990.85021399773,11.1689838640438,9.67371859296482,0.271396459058918,0.747695509654023,0.000802844104461401,0.00160535978606689
FLIGHT_PROFILE,27,2,1.05,0.45,909.882243379993,1144.01425183947,701.864508963796,818.0326325903,617.482688101318,622.904405051713,224.146970021362,327.295401141105,1194.28641950237,-1990.85021399773,10.6719933252717,9.67371859296482,0.204658296942555,0.315153927492166,0.000869573980305164,0.00160535978606689
FLIGHT_PROFILE,28,3,1.05,0.45,960.479278348866,1144.01425183947,718.897168238612,818.0326325903,617.894704298369,622.904405051713,275.140079522187,327.295401141105,929.633528925459,-1990.85021399773,10.4234899648277,9.67371859296482,0.160430670505631,0.159352442585752,0.000977436251314114,0.00160535978606689
FLIGHT_PROFILE,29,4,1.05,0.45,994.648239146093,1144.01425183947,731.573344386616,818.0326325903,618.349844961017,622.904405051713,293.664374553829,327.295401141105,644.035187170877,-1990.85021399773,10.2743865888497,9.67371859296482,0.130563069868413,0.102754351176408,0.00107974432937524,0.00160535978606689
FLIGHT_PROFILE,30,5,1.05,0.45,1018.78242989736,1144.01425183947,741.436593769468,818.0326325903,618.77833174885,622.904405051713,298.519660449181,327.295401141105,386.813804399349,-1990.85021399773,10.1749831975577,9.67371859296482,0.109467012094254,0.0879197831426872,0.00116442861556949,0.00160535978606689
FLIGHT_PROFILE,31,0,1.25,0.25,1196.59069970517,1196.59069970517,872.193955062798,872.193955062798,625.40496233181,625.40496233181,331.217729317621,331.217729317621,-4177.39394265823,-4177.39394265823,9.11713567839196,9.11713567839196,0,0,0.00161586196338185,0.00161586196338185
FLIGHT_PROFILE,32,1,1.25,0.25,849.562026974112,1196.59069970517,683.490957506216,872.193955062798,617.361068718152,625.40496233181,107.644713053916,331.217729317621,1029.61317054738,-4177.39394265823,10.8849910355799,9.11713567839196,0.290014516088556,0.675003167023435,0.0008207807691981,0.00161586196338185
FLIGHT_PROFILE,33,2,1.25,0.25,940.25135685651,1196.59069970517,713.13996033452,872.193955062798,617.817158708663,625.40496233181,239.38299107394,331.217729317621,743.281973575269,-4177.39394265823,10.293336931114,9.11713567839196,0.21422474945846,0.27726395695327,0.000948599489507712,0.00161586196338185
FLIGHT_PROFILE,34,3,1.25,0.25,999.99493453195,1196.59069970517,735.386429440246,872.193955062798,618.5789680907,625.40496233181,273.955131835133,331.217729317621,213.165075472544,-4177.39394265823,9.99750541471256,9.11713567839196,0.16429658463973,0.172885061438169,0.00111344565133651,0.00161586196338185
FLIGHT_PROFILE,35,4,1.25,0.25,1039.77609405171,1196.59069970517,752.729579846593,872.193955062798,619.363496156223,625.40496233181,278.935391648988,331.217729317621,-291.37797504895,-4177.39394265823,9.82000724354577,9.11713567839196,0.131051165358465,0.157848849988634,0.00125056136136312,0.00161586196338185
FLIGHT_PROFILE,36,5,1.25,0.25,1067.36564100313,1196.59069970517,766.630626667422,872.193955062798,620.065228036946,625.40496233181,276.200374089706,331.217729317621,-727.471163091226,-4177.39394265823,9.70167575104757,9.11713567839196,0.107994369949459,0.166106311220908,0.00135099162009457,0.00161586196338185
